dataset,organism,specimen_context,assay_platform,sample_summary,candidate_gene_overlap,same_compartment_macula_retina,stage_label_compatibility,status,reason_or_use,source_url
GSE160306,Homo sapiens,"postmortem retina, macula and retinal periphery","bulk RNA-seq, Illumina HiSeq 4000",79 GEO samples; macula-only discovery subset used 39 samples,7/7 in discovery matrix,yes_for_discovery_subset,yes,used_as_discovery_dataset,Primary macula-restricted stage-aware discovery cohort; not an external validation dataset.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160306
GSE102485,Homo sapiens,"PDR neovascular proliferative membrane, non-diabetic membrane controls, normal retina","bulk RNA-seq, Illumina NextSeq 500","30 GEO samples; directional comparison used 20 diabetic membrane, 5 non-diabetic membrane, and 3 normal retina samples",7/7 checked,no,partial_PDR_only,used_as_cross_compartment_directional_support,"Full seven-gene coverage and human PDR relevance, but specimen type differs from macular retina; not formal same-compartment validation.",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102485
GSE94019,Homo sapiens,CD31+ endothelial cells from fibrovascular membranes and control retina,"bulk RNA-seq, Illumina HiSeq 2000",13 samples: 9 fibrovascular membrane endothelial-cell samples and 4 retinal endothelial-cell controls,not_used_for_quantitative_extension,no,PDR_membrane_endothelial_only,screened_out_for_primary_expansion,"Human PDR-relevant endothelial-cell dataset, but cell-enriched membrane context is not comparable with bulk macular retina.",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE94019
GSE179568,Homo sapiens,"retinal neovascularization membranes, macular pucker, and macular hole controls","bulk RNA-seq, Illumina HiSeq 1000","24 samples: 7 PDR retinal neovascularization membranes, 10 macular pucker, and 7 macular hole samples",not_used_for_quantitative_extension,no,PDR_membrane_only,screened_out_for_primary_expansion,"Useful orthogonal membrane biology resource, but controls and specimen type do not match macular retinal tissue.",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179568
GSE60436,Homo sapiens,fibrovascular membranes from PDR and commercial retina controls,Illumina HumanWG-6 v3.0 expression beadchip,9 samples: 6 fibrovascular membranes and 3 retina controls,not_used_for_quantitative_extension,no,PDR_membrane_only,screened_out_for_primary_expansion,Small array dataset in a fibrovascular membrane context; not suitable for same-compartment bulk macular RNA-seq replication.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60436
GSE53257,Homo sapiens,"DR, diabetes, and normal samples on custom mitoscriptome array",custom Human 8x15k mitoscriptome microarray,16 samples,1/7 checked,unclear,limited,screened_out_for_gene_overlap,Custom mitoscriptome platform has insufficient overlap with the current seven-gene candidate set.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53257
GSE221521,Homo sapiens,peripheral blood leukocytes,"bulk RNA-seq, Illumina NovaSeq 6000","193 samples: 50 healthy controls, 74 diabetic without DR, and 69 DR",not_used_for_quantitative_extension,no,blood_DR_vs_DM_available,screened_out_for_tissue_context,Large human cohort but blood leukocytes are not comparable with macular retinal tissue; suitable only for separate circulating-biomarker exploration.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221521
GSE185011,Homo sapiens,peripheral blood mononuclear cells,"bulk RNA-seq, Illumina NovaSeq 6000","25 samples: 5 each in HC, T2DM, DR, DPN, and DN groups",not_used_for_quantitative_extension,no,blood_DR_group_only,screened_out_for_tissue_context,"PBMC dataset with small DR subgroup; useful only for separate blood-compartment exploration, not retinal replication.",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185011
GSE189005,Homo sapiens,whole blood cells,Affymetrix Human Clariom D array,"45 samples including control, T2DM, T2DR, and T2DN subgroups",not_used_for_quantitative_extension,no,blood_T2DR_subgroups_available,screened_out_for_tissue_context,Whole-blood array dataset is not comparable with bulk macular retina and includes complication/time subgroups rather than retinal stage labels.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189005
GSE191210,Homo sapiens,vitreous samples from PDR and idiopathic macular hole controls,Affymetrix Human Clariom D array and non-coding RNA profiling,"9 samples: 3 controls, 3 anti-VEGF pretreated PDR, and 3 untreated PDR",not_used_for_quantitative_extension,no,PDR_vitreous_only,screened_out_for_tissue_context,Vitreous fluid array dataset is biologically adjacent but not retinal tissue; small sample size and treatment strata limit interpretation.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE191210
GSE236333,Rattus norvegicus,rat whole retina in STZ-diabetes and lixisenatide treatment model,"bulk RNA-seq, Illumina HiSeq 4000",18 rat retina samples,not_applicable_species_difference,no,animal_intervention_model,screened_out_for_species_and_design,Animal intervention dataset can inform future mechanistic hypotheses but cannot increase the human macular discovery sample size.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236333
GSE178121,Mus musculus,mouse retinal single-cell suspensions in STZ-diabetes model,"single-cell RNA-seq, 10x Chromium",2 pooled samples: control retina and STZ diabetic retina,not_applicable_species_and_scRNA,no,animal_model_only,screened_out_for_species_and_data_type,"Useful for future cell-type attribution, but mouse scRNA-seq cannot be merged with human bulk macular retina discovery data.",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178121
